#pro1	pro2	combined score
ACS1	DPP1	9999.000000
ACS1	"DUR1,2"	9999.000000
ACS1	ECI1	9999.000000
ACS1	EHD3	9999.000000
ACS1	EHT1	9999.000000
ACS1	ELO1	9999.000000
ACS1	ELO2	9999.000000
ACS1	ELO3	9999.000000
ACS1	EPT1	9999.000000
ACS1	ERG1	9999.000000
ACS1	ERG10	0.946000
ACS1	ERG11	9999.000000
ACS1	ERG25	9999.000000
ACS1	ERG3	9999.000000
ACS1	ERG5	9999.000000
ACS1	ERG7	9999.000000
ACS1	ETR1	9999.000000
ACS1	FAA1	9999.000000
ACS1	FAA2	0.710000
ACS1	FAA3	9999.000000
ACS1	FAA4	9999.000000
ACS1	FAS1	9999.000000
ACS1	FAS2	9999.000000
ACS1	FAT1	9999.000000
ACS1	FKS1	9999.000000
ACS1	FMP30	9999.000000
ACS1	FMS1	9999.000000
ACS1	FOX2	0.930000
ACS1	GCY1	9999.000000
ACS1	GLN1	9999.000000
ACS1	GPP1	9999.000000
ACS1	GPP2	9999.000000
ACS1	GPT2	9999.000000
ACS1	GUT1	9999.000000
ACS1	GUT2	9999.000000
ACS1	HAT1	9999.000000
ACS1	HEM13	9999.000000
ACS1	HEM3	9999.000000
ACS1	HFA1	0.957000
ACS1	HFD1	0.932000
ACS1	HMG1	9999.000000
ACS1	HMS1	9999.000000
ACS1	HRD1.00	9999.000000
ACS1	HTD2	9999.000000
ACS1	ICL1	0.974000
ACS1	IDP2	0.904000
ACS1	IDP3	9999.000000
ACS1	IFA38	9999.000000
ACS1	INA1	9999.000000
ACS1	IZH2	9999.000000
ACS1	LAT1	0.958000
ACS1	LCB2	9999.000000
ACS1	LDH1	9999.000000
ACS1	LOA1	9999.000000
ACS1	LPP1	9999.000000
ACS1	LRO1	9999.000000
ACS1	MAE1	9999.000000
ACS1	MCT1	9999.000000
ACS1	MDH3	9999.000000
ACS1	MGA2	9999.000000
ACS1	MGL2	9999.000000
ACS1	MLC1	9999.000000
ACS1	MLC2	9999.000000
ACS1	MLS1	0.998000
ACS1	NCP1	9999.000000
ACS1	NPL4	9999.000000
ACS1	NTE1	9999.000000
ACS1	OAR1	9999.000000
ACS1	OLE1	9999.000000
ACS1	OPI3	9999.000000
ACS1	PAC1	9999.000000
ACS1	PAH1	9999.000000
ACS1	PCD1	9999.000000
ACS1	PCS60	9999.000000
ACS1	PCT1	9999.000000
ACS1	PET10	9999.000000
ACS1	PEX1	9999.000000
ACS1	PEX10	9999.000000
ACS1	PEX11	9999.000000
ACS1	PEX12	9999.000000
ACS1	PEX13	9999.000000
ACS1	PEX14	9999.000000
ACS1	PEX18	9999.000000
ACS1	PEX19	9999.000000
ACS1	PEX5	9999.000000
ACS1	PEX6	9999.000000
ACS1	PEX7	9999.000000
ACS1	PHM8	9999.000000
ACS1	PHS1	9999.000000
ACS1	PIS1	9999.000000
ACS1	PLB1	9999.000000
ACS1	PLB2	9999.000000
ACS1	PLB3	9999.000000
ACS1	POT1	0.967000
ACS1	POX1	0.984000
ACS1	PRE7	9999.000000
ACS1	PSD1	9999.000000
ACS1	PSD2	9999.000000
ACS1	PXA1	9999.000000
ACS1	PXA2	9999.000000
ACS1	PXP1	9999.000000
ACS1	ROG1	9999.000000
ACS1	RSP5	9999.000000
ACS1	SAY1	9999.000000
ACS1	SCT1	9999.000000
ACS1	SEI1	9999.000000
ACS1	SLC1	9999.000000
ACS1	SPO14	9999.000000
ACS1	SPS19	9999.000000
ACS1	SPT23	9999.000000
ACS1	STE23	9999.000000
ACS1	TES1	9999.000000
ACS1	TGL1	9999.000000
ACS1	TGL2	9999.000000
ACS1	TGL3	9999.000000
ACS1	TGL4	9999.000000
ACS1	TGL5	9999.000000
ACS1	YAT1	0.893000
ACS1	YEH1	9999.000000
ACS1	YEH2	9999.000000
ACS1	YHL050C	9999.000000
ACS1	YJU3	9999.000000
ACS1	YLL067C	9999.000000
ACS2	ACB1	9999.000000
ACS2	ACC1	9999.000000
ACS2	ACP1	9999.000000
ACS2	ACS1	9999.000000
ACS2	ACS2	0.000000
ACS2	ADH6	9999.000000
ACS2	ADH7	9999.000000
ACS2	ADR1	9999.000000
ACS2	AIM45	9999.000000
ACS2	ALD2	0.946000
ACS2	ALD3	0.935000
ACS2	ALD4	0.955000
ACS2	ALD5	0.955000
ACS2	ALD6	0.977000
ACS2	ALE1	9999.000000
ACS2	AMD2.00	9999.000000
ACS2	ARE2	9999.000000
ACS2	ATG15	9999.000000
ACS2	AYR1	9999.000000
ACS2	CAT2	9999.000000
ACS2	CDC48	9999.000000
ACS2	CDC60	9999.000000
ACS2	CDS1	9999.000000
ACS2	CEM1	9999.000000
ACS2	CFD1	9999.000000
ACS2	CHO1	9999.000000
ACS2	CHO2	9999.000000
ACS2	CIR1	9999.000000
ACS2	CIT1	0.974000
ACS2	CIT2	0.988000
ACS2	CIT3	0.979000
ACS2	CMD1	9999.000000
ACS2	CPT1	9999.000000
ACS2	CRC1.00	9999.000000
ACS2	CTA1	9999.000000
ACS2	CTT1	9999.000000
ACS2	CYB2	9999.000000
ACS2	CYB5	9999.000000
ACS2	CYC1	9999.000000
ACS2	DCI1	9999.000000
ACS2	DGA1	9999.000000
ACS2	DGK1	9999.000000
ACS2	DPP1	9999.000000
ACS2	"DUR1,2"	9999.000000
ACS2	ECI1	9999.000000
ACS2	EHD3	9999.000000
ACS2	EHT1	9999.000000
ACS2	ELO1	9999.000000
ACS2	ELO2	9999.000000
ACS2	ELO3	9999.000000
ACS2	EPT1	9999.000000
ACS2	ERG1	9999.000000
ACS2	ERG10	0.985000
ACS2	ERG11	9999.000000
ACS2	ERG25	9999.000000
ACS2	ERG3	9999.000000
ACS2	ERG5	9999.000000
ACS2	ERG7	9999.000000
ACS2	ETR1	9999.000000
ACS2	FAA1	9999.000000
ACS2	FAA2	9999.000000
ACS2	FAA3	9999.000000
ACS2	FAA4	9999.000000
ACS2	FAS1	9999.000000
ACS2	FAS2	9999.000000
ACS2	FAT1	9999.000000
ACS2	FKS1	9999.000000
ACS2	FMP30	9999.000000
ACS2	FMS1	9999.000000
ACS2	FOX2	9999.000000
ACS2	GCY1	9999.000000
ACS2	GLN1	9999.000000
ACS2	GPP1	9999.000000
ACS2	GPP2	9999.000000
ACS2	GPT2	9999.000000
ACS2	GUT1	9999.000000
ACS2	GUT2	9999.000000
ACS2	HAT1	9999.000000
ACS2	HEM13	9999.000000
ACS2	HEM3	9999.000000
ACS2	HFA1	0.970000
ACS2	HFD1	0.925000
ACS2	HMG1	9999.000000
ACS2	HMS1	9999.000000
ACS2	HRD1.00	9999.000000
ACS2	HTD2	9999.000000
ACS2	ICL1	0.828000
ACS2	IDP2	9999.000000
ACS2	IDP3	9999.000000
ACS2	IFA38	9999.000000
ACS2	INA1	9999.000000
ACS2	IZH2	9999.000000
ACS2	LAT1	0.962000
ACS2	LCB2	9999.000000
ACS2	LDH1	9999.000000
ACS2	LOA1	9999.000000
ACS2	LPP1	9999.000000
ACS2	LRO1	9999.000000
ACS2	MAE1	9999.000000
ACS2	MCT1	9999.000000
ACS2	MDH3	9999.000000
ACS2	MGA2	9999.000000
ACS2	MGL2	9999.000000
ACS2	MLC1	9999.000000
ACS2	MLC2	9999.000000
ACS2	MLS1	0.980000
ACS2	NCP1	9999.000000
ACS2	NPL4	9999.000000
ACS2	NTE1	9999.000000
ACS2	OAR1	9999.000000
ACS2	OLE1	9999.000000
ACS2	OPI3	9999.000000
ACS2	PAC1	9999.000000
ACS2	PAH1	9999.000000
ACS2	PCD1	9999.000000
ACS2	PCS60	9999.000000
ACS2	PCT1	9999.000000
ACS2	PET10	9999.000000
ACS2	PEX1	9999.000000
ACS2	PEX10	9999.000000
ACS2	PEX11	9999.000000
ACS2	PEX12	9999.000000
ACS2	PEX13	9999.000000
ACS2	PEX14	9999.000000
ACS2	PEX18	9999.000000
ACS2	PEX19	9999.000000
ACS2	PEX5	9999.000000
ACS2	PEX6	9999.000000
ACS2	PEX7	9999.000000
ACS2	PHM8	9999.000000
ACS2	PHS1	9999.000000
ACS2	PIS1	9999.000000
ACS2	PLB1	9999.000000
ACS2	PLB2	9999.000000
ACS2	PLB3	9999.000000
ACS2	POT1	0.921000
ACS2	POX1	0.954000
ACS2	PRE7	9999.000000
ACS2	PSD1	9999.000000
ACS2	PSD2	9999.000000
ACS2	PXA1	9999.000000
ACS2	PXA2	9999.000000
ACS2	PXP1	9999.000000
ACS2	ROG1	9999.000000
ACS2	RSP5	9999.000000
ACS2	SAY1	9999.000000
ACS2	SCT1	9999.000000
ACS2	SEI1	9999.000000
ACS2	SLC1	9999.000000
ACS2	SPO14	9999.000000
ACS2	SPS19	9999.000000
ACS2	SPT23	9999.000000
ACS2	STE23	9999.000000
ACS2	TES1	9999.000000
ACS2	TGL1	9999.000000
ACS2	TGL2	9999.000000
ACS2	TGL3	9999.000000
ACS2	TGL4	9999.000000
ACS2	TGL5	9999.000000
ACS2	YAT1	9999.000000
ACS2	YEH1	9999.000000
ACS2	YEH2	9999.000000
ACS2	YHL050C	9999.000000
ACS2	YJU3	9999.000000
ACS2	YLL067C	9999.000000
ADH6	ACB1	9999.000000
ADH6	ACC1	9999.000000
ADH6	ACP1	9999.000000
ADH6	ACS1	9999.000000
ADH6	ACS2	9999.000000
ADH6	ADH6	0.000000
ADH6	ADH7	0.983000
ADH6	ADR1	9999.000000
ADH6	AIM45	9999.000000
ADH6	ALD2	0.856000
ADH6	ALD3	0.827000
ADH6	ALD4	0.852000
ADH6	ALD5	0.788000
ADH6	ALD6	0.902000
ADH6	ALE1	9999.000000
ADH6	AMD2.00	9999.000000
ADH6	ARE2	9999.000000
ADH6	ATG15	9999.000000
ADH6	AYR1	9999.000000
ADH6	CAT2	9999.000000
ADH6	CDC48	9999.000000
ADH6	CDC60	9999.000000
ADH6	CDS1	9999.000000
ADH6	CEM1	9999.000000
ADH6	CFD1	9999.000000
ADH6	CHO1	9999.000000
ADH6	CHO2	9999.000000
ADH6	CIR1	9999.000000
ADH6	CIT1	9999.000000
ADH6	CIT2	9999.000000
ADH6	CIT3	9999.000000
