#node1	node2	combined_score
CDS1	DPP1	0.963
CDS1	SLC1	0.964
CDS1	SPO14	0.965
CDS1	DGK1	0.98
CDS1	PAH1	0.985
CDS1	CHO1	0.993
CDS1	PIS1	0.998
CEM1	ETR1	0.969
CEM1	"DUR1,2"	0.933
CEM1	ELO2	0.828
CEM1	FAA2	0.8
CEM1	ERG10	0.776
CEM1	ELO3	0.828
CEM1	LIP2	0.85
CEM1	HFA1	0.863
CEM1	ELO1	0.864
CEM1	FAS1	0.96
CEM1	MCT1	0.98
CEM1	FAS2	0.987
CEM1	OAR1	0.988
CFD1	FAS2	0.787
CHO1	LCB2	0.836
CHO1	DPP1	0.751
CHO1	LPP1	0.75
CHO1	GPT2	0.736
CHO1	PCT1	0.741
CHO1	FAS1	0.75
CHO1	CPT1	0.775
CHO1	PAH1	0.786
CHO1	TGL4	0.841
CHO1	TGL5	0.857
CHO1	SPO14	0.942
CHO1	EPT1	0.954
CHO1	CHO2	0.994
CHO1	PSD2	0.994
CHO1	PIS1	0.994
CHO1	PSD1	0.996
CHO1	OPI3	0.997
CHO2	SAH1	0.811
CHO2	DGK1	0.71
CHO2	DGA1	0.712
CHO2	PIS1	0.744
CHO2	PAH1	0.773
CHO2	CPT1	0.793
CHO2	PCT1	0.875
CHO2	TGL5	0.932
CHO2	TGL4	0.936
CHO2	SPO14	0.952
CHO2	EPT1	0.975
CHO2	PSD2	0.987
CHO2	PSD1	0.994
CHO2	OPI3	0.999
CIR1	POX1	0.981
CIT1	CIT2	0.995
CIT1	MDH3	0.992
CIT1	ICL1	0.929
CIT1	GUT2	0.708
CIT1	POT1	0.851
CIT1	MAE1	0.917
CIT1	FAS1	0.835
CIT1	IDP2	0.774
CIT1	CYB2	0.934
CIT1	HFA1	0.851
CIT1	LAT1	0.987
CIT1	MLS1	0.988
CIT1	ERG10	0.929
CIT1	CIT3	0.999
CIT2	YAT1	0.821
CIT2	IDP3	0.7
CIT2	IDP2	0.783
CIT2	YAT2	0.837
CIT2	FAS1	0.842
CIT2	HFA1	0.864
CIT2	POT1	0.894
CIT2	MAE1	0.912
CIT2	ICL1	0.936
CIT2	ERG10	0.958
CIT2	CIT3	0.958
CIT2	LAT1	0.989
CIT2	MLS1	0.994
CIT2	MDH3	0.996
CIT3	MDH3	0.993
CIT3	YAT2	0.791
CIT3	ICL1	0.94
CIT3	POX1	0.766
CIT3	POT1	0.866
CIT3	MAE1	0.925
CIT3	FAS1	0.817
CIT3	FOX2	0.733
CIT3	IDP2	0.878
CIT3	HFA1	0.838
CIT3	IDP3	0.874
CIT3	LAT1	0.984
CIT3	MLS1	0.989
CIT3	CRC1.00	0.815
CIT3	ERG10	0.922
CMD1	OLE1	0.713
CMD1	ERG11	0.741
CMD1	UGA1	0.78
CMD1	NCP1	0.817
CMD1	MLC1	0.856
CPT1	DPP1	0.934
CPT1	LPP1	0.956
CPT1	PSD2	0.782
CPT1	PCT1	0.996
